YEAR,country,ccode,region,rcode,sum,NUM,unga_imp,unga_impcons,ecoaid,milaid,OFDI,gdp,GdpPc,population,geo_distance,xxtot,mmtot,dist_CHINA,timepaytax,unemp,inflation,exchrate,legal,property,corru,tradefree,invfree,finfree,ecoaidpc,milaidpc,diaspora,chineseXunga_imp,chineseXmilaidpc,chineseXecoaidpc,agnu_china,bit,diplo,usainvXunga_imp,usainvXecoaidpc,usainvXmilaidpc,dummy_unga_china,SOEs,POEs,seasia,soe_dummy,ungaXsoe,ecoaidXsoe,milaidXsoe,sumrel,ofdirel,usainvXdiaspora,usainvXsoe,usainv,unga_impstd,ecoaidstd,milaidstd,ofdistd,ecoaidpcln,milaidpcln,indexXdiaspora,index2,s,ssoes,spoes,sel,dummy1,dummy2,dummy3,dummy4,dummy5,dummy6,dummy7,dummy8,region1,region2,region3,region4,region5,region6,region7,region8,trade,country1,comlang,dist,distw,distance,tradew,tradewstd,distancestd,comlangstd,pc1,pc2,pc3,INDEX,min_INDEX,max_INDEX,index,_est_soe,_est_poe,_est_one,_est_two,_est_three,_est_four,_est_five,_est_six,_est_seven,_est_eight,p1,_est_HECK_SOES,phi1,capphi1,invmills_SOEs,_est_CORRECTED_SOES,p2,_est_HECK_POES,phi2,capphi2,invmills_POEs,_est_CORRECTED_POES,_est_eleven,_est_twelve,_est_nine,_est_ten,strategicpartn,taiwan,chinese_immigrants,log_chinese_immigrants,dup,log_agnu_china,log_unga_imp,log_dist_china,log_gdp,log_exchrate,migra_dummy,log_exports,log_imports,exports,imports,natres,russia_unga,france_unga,uk_unga,assist_oecd,log_natres,taiwan_fdi,log_russia_unga
2011,Slovakia,317,Europe,4,0,0,73,92.300003,1,2347000,0,79.37500310900001,14703,5.398384,6852.7549,.015902176,.0095515121,7722.6392,231,13.5,1.875105,,8,50,45,87.599998,75,70,.18524063,.43475974,0,0,0,0,.70481902,1,3,0,0,0,0,0,0,0,0,0,0,0,.000099999997,0,0,0,0,1.5624014,-.36427718,-.13537218,-.20845301,-1.6860996,-.83296174,0,.22294985,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,864019858.5,SVK,0,6852.7554,8289.600006890107,.00012063309,10885289,-.64068615,-.024814187,-.8028186,-.44833487,-.99009365,1.5068443,-.17548926,-.98707879,3.8155789,1.6898758,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0,0,0,0,0,0,0,0,-15.18,0,-.34981421,4.2904596,8.951911,4.3741837,,0,-6.6274424,-6.2230883,,,,,,,,,0,
2012,Slovakia,317,Europe,4,0,0,62.9,90.5,0,1900000,1,80.80478920500001,14943,5.407579,6852.7549,.018821329,.0093060369,7722.6392,207,13.9,1.2522118,,8,50,43,87.099998,75,70,0,.35135871,0,0,,0,.68421102,1,3,0,,0,0,0,0,0,0,0,,0,.000099999997,.18492565,0,0,1849.2565,1.1249214,-.37392917,-.13851811,-.10037053,,-1.0459476,0,.18176703,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1072822150,SVK,0,6852.7554,8289.600006890107,.00012063309,13276715,-.59982383,-.024814187,-.8028186,-.45210129,-.8971526,1.176259,-.22266048,-.98707879,3.8155789,1.5916568,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0,0,0,0,0,0,0,0,-15.18,0,-.37948892,4.1415462,8.951911,4.3920364,,0,-6.739974,-6.2094436,,,,,,,,,0,
2005,Italy,325,Europe,4,0,0,83.3,93.800003,0,0,24.528,1786.28,30814,57.969484,6895.1069,.079543971,.03427361,8134.6948,340,7.6999998,1.8170971,.80412,3,70,53,80.199997,70,70,0,0,0,0,,0,.70454502,1,8,0,,,0,0,0,0,0,0,,,.000099999997,.42311916,0,0,4231.1919,2.0085444,-.37392917,-.15177158,.038845144,,,0,.33512297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21964463875,ITA,0,6895.1069,8284.005580032348,.00012071455,12296204,-.6165778,-.023685349,-.8028186,-.3222748,-1.07652,1.9262117,-.055500172,-.98707879,3.8155789,1.9397147,0,0,0,0,0,0,0,0,0,0,-.52330321,1,.34789252,.30038163,1.1581684,0,.027260467,0,.39879408,.51087403,.7806114,0,0,0,1,1,3,0,0,12.12763,1,-.35020304,4.4224486,9.0038939,7.4878907,-.21800676,1,-4.1771083,-4.5569878,.015171421,.015171421,37.482164,.79167002,.91781002,.89726001,0,17.439375,0,-.23361062
2006,Italy,325,Europe,4,0,0,66.7,85,0,48000,25.435,1825.55,31397,58.143979,6895.1069,.073717549,.030077994,8134.6948,340,6.8000002,1.7075994,.79714084,3,50,48,82.400002,70,50,0,.0008255369,0,0,,0,.669231,1,8,0,,0,0,0,0,0,0,0,,0,.000099999997,.43744856,0,0,4374.4858,1.2895178,-.37392917,-.15174045,.047220167,,-7.0994768,0,.22690186,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23333200644,ITA,0,6895.1069,8284.005580032348,.00012071455,12781463,-.6082862,-.023685349,-.8028186,-.40118399,-.93637824,1.3460084,-.17565538,-.98707879,3.8155789,1.68953,1,1,1,1,0,0,0,0,1,1,.073335044,1,.39787096,.52923024,.75179183,1,-1.4305601,1,.14338963,.076278165,1.8798254,1,1,1,1,1,3,0,0,12.12763,1,-.40162599,4.2002048,9.0038939,7.5096364,-.22672391,1,-4.1050363,-4.5220685,.016950058,.016950058,46.843589,.76437002,.90805,.89655,0,17.662325,0,-.26870328
2007,Italy,325,Europe,4,0,0,70,85.699997,0,10000,28.216,1856.28,31765,58.43831,6895.1069,.066219367,.028856227,8134.6948,340,6.0999999,2.373857,.73063749,3,50,50,81.599998,70,60,0,.00017112063,0,0,,0,.694444,1,8,0,,0,0,0,0,0,0,0,,0,.000099999997,.48283395,0,0,4828.3398,1.4324569,-.37392917,-.15176512,.073746324,,-8.6731415,0,.25309286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25303998887.5,ITA,0,6895.1069,8284.005580032348,.00012071455,13631564,-.59376055,-.023685349,-.8028186,-.37102732,-.95770448,1.4674153,-.14214925,-.98707879,3.8155789,1.7592957,1,1,1,1,0,0,0,0,1,1,.21785153,1,.38958696,.5862276,.66456604,1,-1.0465642,1,.23071159,.1476503,1.5625541,1,1,1,1,1,3,0,0,12.12763,1,-.36464375,4.2484951,9.0038939,7.52633,-.31383786,1,-4.0531545,-4.5393958,.017164707,.017164707,58.619034,.74342,.90789002,.88312,0,17.88657,0,-.29649413
2008,Italy,325,Europe,4,250,1,43.8,84.5,0,66000,27.663,1834.82,31190,58.826731,6895.1069,.062121417,.030376889,8134.6948,314,6.6999998,2.5331583,.68267471,3,50,49,81,70,60,0,.0011219389,0,0,,0,.68000001,1,8,0,,0,0,0,250,0,0,0,,0,4.2497687,.47024539,0,0,.11065199,.29760781,-.37392917,-.15172926,-.20844655,,-6.792697,0,.075364932,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,26485433764.5,ITA,0,6895.1069,8284.005580032348,.00012071455,14434895,-.58003402,-.023685349,-.8028186,-.55927253,-.74224991,.47473451,-.3778896,-.98707879,3.8155789,1.2684418,1,1,1,1,0,0,0,0,1,1,.20029773,1,.3910194,.5793761,.67489737,1,-.23615843,1,.38797128,.40665486,.95405543,1,1,1,1,1,3,0,0,12.12763,1,-.38566247,3.7796338,9.0038939,7.5147018,-.38173681,1,-3.9838331,-4.5778255,.017370194,.017370194,66.580603,.72602999,.91096002,.88889003,0,18.013924,0,-.32016397
2009,Italy,325,Europe,4,0,0,65.59999999999999,91.400002,0,300000,29.944,1734,29342,59.095365,6895.1069,.058425274,.031670354,8134.6948,314,7.8000002,2.088948,.71984339,3,50,52,80.800003,70,60,0,.0050765402,0,0,,0,.66901398,1,8,0,,0,0,0,0,0,0,0,,0,.000099999997,.50670642,0,0,5067.0645,1.2418715,-.37392917,-.1515801,.087698929,,-5.2831254,0,.229101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19754101645.5,ITA,0,6895.1069,8284.005580032348,.00012071455,11392215,-.63202429,-.023685349,-.8028186,-.41034248,-.93516427,1.3198895,-.18514861,-.98707879,3.8155789,1.6697633,1,1,1,1,0,0,0,0,1,1,.57692623,1,.33778,.71800536,.47044218,1,-.38196266,1,.37087646,.35124454,1.0558925,1,1,1,1,1,3,0,0,12.12763,1,-.40195033,4.1835756,9.0038939,7.4581861,-.32872161,1,-4.0835595,-4.513555,.022647822,.022647822,41.434154,.71013999,.89130002,.87681001,0,17.539616,0,-.34229317
2010,Italy,325,Europe,4,1170,2,57.4,89.300003,0,0,27.137,1763.89,29756,59.277417,6895.1069,.059796792,.030171668,8134.6948,285,8.3999996,.38824144,.75504494,3,55,48,87.5,75,60,0,0,0,0,,0,.70833302,1,8,0,,,0,0,585,0,0,0,,,19.737701,.4577966,0,0,.023194019,.88668984,-.37392917,-.15177158,-.20845166,,,0,.12966259,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,21805815880.5,ITA,0,6895.1069,8284.005580032348,.00012071455,12362345,-.6154477,-.023685349,-.8028186,-.50791746,-.86751032,.95410657,-.28758678,-.98707879,3.8155789,1.4564686,1,1,1,1,0,0,0,0,1,1,.69020736,1,.31438667,.75496811,.41642377,1,-.055973899,1,.39831781,.47768131,.83385682,1,1,1,1,1,3,0,0,12.12763,1,-.34484094,4.0500445,9.0038939,7.4752769,-.28097802,1,-3.9251051,-4.6018496,.025445463,.025445463,55.957369,.75397003,.88889003,.84127003,0,17.840101,0,-.28240266
2011,Italy,325,Europe,4,130,1,72.59999999999999,92.300003,1,937000,26.896,1771.81,29839,59.379449,6895.1069,.060502063,.032363065,8134.6948,285,8.3999996,1.3525879,.71935523,3,50,43,87.599998,75,60,.016840843,.01577987,0,0,0,0,.72941202,1,8,0,0,0,0,0,130,0,0,0,0,0,2.1893096,.45295131,0,0,.20689231,1.5450754,-.37305167,-.15117635,-.20844091,-4.0839481,-4.1490202,0,.20840892,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,25536954182.5,ITA,0,6895.1069,8284.005580032348,.00012071455,14412919,-.58040953,-.023685349,-.8028186,-.41237026,-.97903252,1.4842459,-.1624305,-.98707879,3.8155789,1.7170666,1,1,1,1,1,1,1,1,1,1,.88508213,1,.26965183,.81194383,.3321065,1,-.050886605,1,.39842609,.47970793,.83055973,1,1,1,1,1,0,0,0,-15.18,0,-.31551653,4.284965,9.0038939,7.4797568,-.3294,0,-4.031424,-4.5968981,,,,,,,,,0,
2012,Italy,325,Europe,4,700,2,59.7,89.099998,1,0,27.53,1729.86,29054,59.539717,6895.1069,.067997552,.033170234,8134.6948,269,10.7,1.5800748,.77829361,3,50,39,87.099998,75,60,.016795512,0,0,0,0,0,.68421102,1,8,0,0,,0,460,240,0,1,59.700001,-4.0866437,,11.756858,.46238044,0,.039328571,.039328571,.98631394,-.37305406,-.15177158,-.20845072,-4.0866437,,0,.14063255,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27057792371.5,ITA,0,6895.1069,8284.005580032348,.00012071455,15641608,-.55941492,-.023685349,-.8028186,-.4674376,-.8652553,1.030398,-.25224736,-.98707879,3.8155789,1.5300517,1,1,1,1,1,1,0,0,1,1,.85400063,1,.27703899,.80344766,.34481275,1,-.11642326,1,.39624771,.45365855,.87344921,1,1,1,1,1,0,0,0,-15.18,0,-.37948892,4.0893321,9.0038939,7.4557958,-.25065145,0,-4.3801641,-4.7289176,,,,,,,,,0,
2005,Albania,339,Europe,4,0,0,83.3,93.099998,38,4432000,.002,8.376483739999999,2799,2.992724,7439.6309,.010008614,.014101036,7686.0791,364,,3.4692521,99.870255,9,30,25,60.200001,70,50,12.697462,1.4809251,0,0,0,0,.52777803,1,11,0,0,0,0,0,0,0,0,0,0,0,.000099999997,.00066828751,0,0,6.6828752,2.0085444,.28767309,-.095910177,-.20806243,2.5414021,.39266694,0,.7978304,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28668063.5,ALB,0,7439.6313,8882.747080328751,.00011257779,3422446,-.76820379,-.13643871,-.8028186,-.71386963,-.72830766,1.920092,-.090035707,-.98707879,3.8155789,1.8678056,0,0,0,0,0,0,0,0,0,0,-2.9445844,1,.0052253837,.0016169439,3.231642,0,-2.1432192,0,.04012993,.01604775,2.5006578,0,0,0,0,0,0,0,0,-15.18,0,-.63907951,4.4224486,8.9471664,2.1254282,4.6038718,0,-9.1222744,-11.447887,,,,,,,,,0,
2006,Albania,339,Europe,4,0,0,66.7,84.800003,49,4590000,.002,8.795307928,2963,2.968028,7439.6309,.0043538599,.010286164,7686.0791,364,,1.9952412,98.103378,9,30,25,62.400002,70,70,16.509277,1.5464814,0,0,0,0,.52564102,1,11,0,0,0,0,0,0,0,0,0,0,0,.000099999997,.00067384809,0,0,6.738481,1.2895178,.48628801,-.093437351,-.20805918,2.8039224,.43598226,0,.79570848,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26349340,ALB,0,7439.6313,8882.747080328751,.00011257779,2995840.5,-.7754932,-.13643871,-.8028186,-.8578589,-.47448677,1.3580241,-.19136548,-.98707879,3.8155789,1.6568186,0,0,0,0,0,0,0,0,0,0,-2.5007448,1,.017495688,.0061966223,2.8234234,1,-3.7469468,1,.00035665426,.000089500012,3.9849632,1,0,0,0,0,0,0,0,-15.18,0,-.64313674,4.2002048,8.9471664,2.1742184,4.5860219,0,-9.5934668,-11.028914,,,,,,,,,0,
2007,Albania,339,Europe,4,0,0,100,100,30,4044000,.002,9.314231095,3167,2.94088,7439.6309,.0064090788,.011369566,7686.0791,364,13.5,1.9893036,90.427895,9,30,24,73.199997,60,70,10.201028,1.3750986,0,0,0,0,.67647099,1,11,0,0,0,0,0,0,0,0,0,0,0,.000099999997,.00068006857,0,0,6.8006859,2.7319024,.15759619,-.099902019,-.20805554,2.3224885,.31852543,0,.86373711,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22043350,ALB,0,7439.6313,8882.747080328751,.00011257779,2366631.3,-.78624451,-.13643871,-.8028186,-.60093403,-.95245242,2.4937465,.012177126,-.98707879,3.8155789,2.080631,0,0,0,0,0,0,0,0,0,0,-2.402185,1,.02227735,.0081487326,2.7338424,1,-3.4715488,1,.0009636677,.00025873265,3.7245693,1,0,0,0,0,0,0,0,-15.18,0,-.39086571,4.6051702,8.9471664,2.2315435,4.5045528,0,-9.5148335,-9.5758257,,,,,,,,,0,
2008,Albania,339,Europe,4,0,0,45.1,85.099998,43,2758000,.002,10.03142689,3444,2.912559,7439.6309,.0037721731,.012767761,7686.0791,368,13,3.6937273,83.894608,9,30,26,75.800003,70,70,14.763649,.94693363,0,0,0,0,.64788699,1,11,0,0,0,0,0,0,0,0,0,0,0,.000099999997,.00068668136,0,0,6.8668137,.35391706,.39533192,-.11605266,-.20805167,2.692168,-.054526277,0,.48589137,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,26233262,ALB,0,7439.6313,8882.747080328751,.00011257779,2615107.8,-.78199875,-.13643871,-.8028186,-.94134021,-.36641553,.58832747,-.37010327,-.98707879,3.8155789,1.2846543,0,0,0,0,0,0,0,0,0,0,-2.3306808,1,.02638459,.0098850979,2.6691279,1,-2.6721885,1,.011229239,.0037679148,2.9802265,1,0,0,0,0,0,0,0,-15.18,0,-.434039,3.8088822,8.9471664,2.305723,4.4295611,0,-8.8950119,-9.4597178,,,,,,,,,0,
2009,Albania,339,Europe,4,0,0,59.7,89.699997,34,4145000,0,10.362463977,3593,2.884303,7439.6309,.0078792917,.014640454,7686.0791,368,13.8,2.4722095,94.978119,9,30,29,75.800003,70,70,11.787943,1.437089,0,0,0,0,.563492,1,11,0,0,0,0,0,0,0,0,0,0,0,.000099999997,0,0,0,0,.98631394,.24028252,-.097563706,-.20845301,2.4670773,.36261952,0,.51751912,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,31666942,ALB,0,7439.6313,8882.747080328751,.00011257779,3055927.8,-.77446645,-.13643871,-.8028186,-.82459885,-.56519324,1.0886503,-.27478209,-.98707879,3.8155789,1.4831303,0,0,0,0,0,0,0,0,0,0,-1.7973605,1,.07932587,.036139201,2.195009,1,-2.6463954,1,.012026497,.0040677325,2.9565604,1,0,0,0,0,0,0,0,-15.18,0,-.57360214,4.0893321,8.9471664,2.3381901,4.5536466,0,-8.6623287,-9.6571789,,,,,,,,,0,
2010,Albania,339,Europe,4,0,0,61.4,91.199997,36,5080000,0,10.725150216,3754,2.856673,7439.6309,.014732031,.015762882,7686.0791,360,14.2,4.7019901,103.93645,9,35,34,85.800003,70,70,12.602073,1.7782925,0,0,0,0,.58088201,1,11,0,0,0,0,0,0,0,0,0,0,0,.000099999997,0,0,0,0,1.0599492,.2827028,-.084693298,-.20845301,2.5338614,.57565367,0,.57591534,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,39385277,ALB,0,7439.6313,8882.747080328751,.00011257779,3672235.5,-.76393563,-.13643871,-.8028186,-.82523084,-.54238027,1.1540651,-.25124353,-.98707879,3.8155789,1.5321417,0,0,0,0,0,0,0,0,0,0,-1.775916,1,.082424104,.037873384,2.176307,1,-2.5542402,1,.015283062,.0053209905,2.8722212,1,0,0,0,0,0,0,0,-15.18,0,-.54320765,4.1174097,8.9471664,2.3725915,4.6437798,0,-8.976819,-9.1548014,,,,,,,,,0,
2011,Albania,339,Europe,4,0,0,71.8,92.099998,32,5056000,0,11.046904723,3904,2.829337,7439.6309,.010201688,.014380673,7686.0791,371,,1.8632165,100.89496,9,35,32,79.800003,65,70,11.31007,1.7869911,0,0,0,0,.70238101,1,11,0,0,0,0,0,0,0,0,0,0,0,.000099999997,0,0,0,0,1.5104237,.21538292,-.084365182,-.20845301,2.4256935,.58053327,0,.62405419,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,37740520,ALB,0,7439.6313,8882.747080328751,.00011257779,3416388.8,-.76830727,-.13643871,-.8028186,-.75579947,-.66960561,1.5126418,-.18320674,-.98707879,3.8155789,1.6738067,0,0,0,0,0,0,0,0,0,0,-1.6750292,1,.098096862,.046964254,2.0887558,1,-2.443593,1,.020150786,.0072709098,2.7714257,1,0,0,0,0,0,0,0,-15.18,0,-.35327926,4.2738843,8.9471664,2.4021502,4.61408,0,-8.8164415,-9.3255482,,,,,,,,,0,
2012,Albania,339,Europe,4,0,0,60.3,89.699997,31,4067500,0,11.190513071,3994,2.801681,7439.6309,.004870119,.021289676,7686.0791,357,,1.3628713,108.18465,9,35,33,79.800003,65,70,11.064786,1.451807,0,0,0,0,.68656701,1,11,0,0,0,0,0,0,0,0,0,0,0,.000099999997,0,0,0,0,1.0123028,.20260237,-.097008526,-.20845301,2.4037676,.37280899,0,.49580064,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37091322,ALB,0,7439.6313,8882.747080328751,.00011257779,3314532.8,-.77004766,-.13643871,-.8028186,-.80901462,-.59058934,1.1059217,-.27347448,-.98707879,3.8155789,1.485853,0,0,0,0,0,0,0,0,0,0,-1.686066,1,.096294135,.045891542,2.0982981,1,-2.1203644,1,.04213354,.016987663,2.4802434,1,0,0,0,0,0,0,0,-15.18,0,-.37605146,4.0993323,8.9471664,2.4150665,4.6838393,0,-8.6923923,-9.4524651,,,,,,,,,0,
2005,Croatia,344,Europe,4,0,0,83.3,93.800003,30,0,.061,44.821408831,10090,4.442,6909.1689,.034782577,.021637773,7648.7632,232,12.6,3.3464131,5.9492369,5,30,37,65.400002,50,70,6.7537146,0,0,0,0,0,.72388101,0,3,0,0,,0,0,0,0,0,0,0,,.000099999997,.013732553,0,0,137.32553,2.0085444,-.022026347,-.15177158,-.20042682,1.9100927,,0,.49768898,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,265675996,HRV,0,6909.1694,8368.555226094437,.00011949494,5927435,-.72540104,-.040585831,-.8028186,-.53677696,-.91489637,1.9012927,-.089997135,-.98707879,3.8155789,1.8678858,0,0,0,0,0,0,0,0,0,0,-3.0099597,1,.0043011741,.0013064118,3.292357,0,-1.618516,0,.10766449,.052775726,2.0400381,0,0,0,0,0,1,0,0,-15.18,1,-.32312825,4.4224486,8.9422989,3.802686,1.783263,0,-7.1916075,-9.6195812,.001029917,.047051385,1.878638,.78082001,.90540999,.89188999,123460000,14.446057,0,-.24741061
2006,Croatia,344,Europe,4,0,0,66.7,85,16,0,.061,47.033452791,10593,4.44,6909.1689,.03152955,.017303109,7648.7632,196,11.1,4.0143332,5.8377934,6,30,35,78.400002,50,70,3.6036036,0,0,0,0,0,.72727299,0,3,0,0,,0,0,0,0,0,0,0,,.000099999997,.013738738,0,0,137.38739,1.2895178,-.18616313,-.15177158,-.20042321,1.2819344,,0,.26706043,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,253697386.5,HRV,0,6909.1694,8368.555226094437,.00011949494,5393977.5,-.7345162,-.040585831,-.8028186,-.58134025,-.87900656,1.3049132,-.23751841,-.98707879,3.8155789,1.56072,0,0,0,0,0,0,0,0,0,0,-2.4491084,1,.019880729,.0071605179,2.7764373,1,-3.2511163,1,.002021699,.00057476416,3.517441,1,0,0,0,0,1,0,0,-15.18,1,-.31845337,4.2002048,8.9422989,3.8508592,1.7643529,0,-7.0058656,-9.5737038,.001651639,.053314652,2.386539,.75287002,.91953999,.90805,203820000,14.685355,0,-.28386268
2007,Croatia,344,Europe,4,0,0,70,85.699997,15,75000,.083,49.413312273,11139,4.436,6909.1689,.028116001,.018917816,7648.7632,196,9.6000004,4.100214,5.3645358,7,30,34,87.800003,50,60,3.3814247,.016907124,0,0,0,0,.71527803,0,3,0,0,0,0,0,0,0,0,0,0,0,.000099999997,.01871055,0,0,187.1055,1.4324569,-.19773978,-.15113384,-.19751737,1.2182971,-4.0800204,0,.2836729,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,294497523,HRV,0,6909.1694,8368.555226094437,.00011949494,5959882.5,-.7248466,-.040585831,-.8028186,-.55578798,-.90909296,1.419609,-.21060841,-.98707879,3.8155789,1.6167514,0,0,0,0,0,0,0,0,0,0,-2.255188,1,.031370889,.012060766,2.6010695,1,-2.9864981,1,.0046146279,.0014109629,3.2705524,1,0,0,0,0,1,0,0,-15.18,1,-.33508396,4.2484951,8.9422989,3.9002199,1.6798098,0,-6.6743145,-9.5566559,.001605149,.062075317,2.583167,.74667001,.90666997,.88815999,162910000,14.764526,0,-.29213196
2008,Croatia,344,Europe,4,0,0,44.3,85.099998,6,309000,.088,50.44325248,11375,4.434508,6909.1689,.024880847,.020517763,7648.7632,196,8.3999996,5.6839714,4.9350395,7,30,34,87.599998,50,60,1.353025,.069680788,0,0,0,0,.68666703,0,3,0,0,0,0,0,0,0,0,0,0,0,.000099999997,.019844366,0,0,198.44366,.31926522,-.30342969,-.14914317,-.19685468,.3023428,-2.6638308,0,.1010487,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,374305940,HRV,0,6909.1694,8368.555226094437,.00011949494,7420337,-.69989181,-.040585831,-.8028186,-.64576238,-.74960214,.50770974,-.40750268,-.98707879,3.8155789,1.206782,0,0,0,0,0,0,0,0,0,0,-2.2108753,1,.034633867,.013522238,2.5612526,1,-2.247962,1,.031885464,.012289307,2.5945697,1,0,0,0,0,1,0,0,-15.18,1,-.37590578,3.7909846,8.9422989,3.9208491,1.5963607,0,-6.7108874,-9.7229004,.0024968011,.061373834,2.842838,.73973,.92466003,.90278,241580000,14.860313,0,-.30147001
2009,Croatia,344,Europe,4,0,0,62.1,90.800003,4.3000002,1700000,.076,46.938856453,10598,4.429078,6909.1689,.02251303,.025594851,7648.7632,196,9.1000004,2.8533051,5.2839465,7,30,41,87.599998,50,60,.97085673,.38382706,0,0,0,0,.67605603,0,3,0,0,0,0,0,0,0,0,0,0,0,.000099999997,.017159328,0,0,171.59328,1.0902694,-.32334262,-.13729338,-.198424,-.029576374,-.95756316,0,.18130733,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,232314936.5,HRV,0,6909.1694,8368.555226094437,.00011949494,4949309.5,-.74211425,-.040585831,-.8028186,-.5741533,-.91676688,1.1350237,-.28871888,-.98707879,3.8155789,1.4541113,0,0,0,0,0,0,0,0,0,0,-1.7871995,1,.08078374,.036952626,2.1861434,1,-2.3060875,1,.02793267,.010552872,2.6469259,1,0,0,0,0,1,0,0,-15.18,1,-.39147931,4.128746,8.9422989,3.8488457,1.6646732,0,-6.9794402,-9.5054836,.0039164741,.067979537,1.999614,.70587999,.88971001,.88971001,168830000,14.508465,0,-.34831005
2010,Croatia,344,Europe,4,0,0,61.4,91.199997,4,3364000,-.028,45.872253522,10384,4.417781,6909.1689,.024915593,.021713454,7648.7632,196,11.8,.81040478,5.4980106,7,40,44,87.800003,65,60,.90543193,.76146823,0,0,0,0,.71232897,0,3,0,0,0,0,0,0,0,0,0,0,0,.000099999997,-.0063380236,0,0,-63.380238,1.0599492,-.32675156,-.12304853,-.21215737,-.099343181,-.27250683,0,.18006033,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,330945575,HRV,0,6909.1694,8368.555226094437,.00011949494,7214504.5,-.70340884,-.040585831,-.8028186,-.56322515,-.890468,1.1065488,-.28169447,-.98707879,3.8155789,1.4687374,0,0,0,0,0,0,0,0,0,0,-1.8125244,1,.077184163,.0349526,2.2082524,1,-2.2600603,1,.031027703,.011908754,2.6054533,1,0,0,0,0,1,0,0,-15.18,1,-.33921543,4.1174097,8.9422989,3.8258605,1.7043864,0,-7.0683136,-10.219457,.003191604,.071795918,2.294663,.76515001,.90908998,.86364001,131550000,14.646096,0,-.26768339
2011,Croatia,344,Europe,4,0,0,75,93,8,4449000,-.037,45.764543779,10691,4.280622,6909.1689,.026597608,.023059038,7648.7632,196,13.4,1.7614417,5.3438697,7,40,41,87.599998,70,60,1.8688873,1.0393349,0,0,0,0,.71764702,0,3,0,0,0,0,0,0,0,0,0,0,0,.000099999997,-.0086436039,0,0,-86.436043,1.649031,-.27655065,-.11256723,-.2135049,.6253432,.038580984,0,.29279673,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,484926799,HRV,0,6909.1694,8368.555226094437,.00011949494,10596124,-.64562708,-.040585831,-.8028186,-.48037133,-.94516069,1.5851655,-.15360051,-.98707879,3.8155789,1.7354522,0,0,0,0,0,0,0,0,0,0,-1.6550124,1,.10142136,.048960995,2.0714726,1,-2.1203778,1,.042132348,.0169871,2.4802554,1,0,0,0,0,0,0,0,-15.18,0,-.33177745,4.3174882,8.9422989,3.8235097,1.6759501,0,-7.116375,-9.9951973,,,,,,,,,0,
